timestamp,frame_time_ms,memory_bytes,memory_mb,throughput_msg_sec,cache_hit_rate,avg_hop_count,messages_sent
5.550,13.477,1036673024,988.65,999.93,0.0000,0.00,5570
5.563,13.313,1036673024,988.65,999.93,0.0000,0.00,5583
5.577,13.388,1036673024,988.65,999.93,0.0000,0.00,5596
5.590,13.541,1036673024,988.65,999.93,0.0000,0.00,5610
5.604,13.193,1036673024,988.65,999.93,0.0000,0.00,5623
5.618,13.949,1036673024,988.65,999.93,0.0000,0.00,5637
5.631,13.807,1036673024,988.65,999.93,0.0000,0.00,5651
5.645,13.277,1036673024,988.65,999.93,0.0000,0.00,5664
5.658,13.186,1036673024,988.65,999.93,0.0000,0.00,5677
5.672,13.748,1036673024,988.65,999.93,0.0000,0.00,5691
5.686,13.997,1036673024,988.65,999.93,0.0000,0.00,5705
5.706,20.690,1036673024,988.65,999.93,0.0000,0.00,5726
5.721,15.107,1036673024,988.65,999.93,0.0000,0.00,5741
5.735,13.883,1036673024,988.65,999.93,0.0000,0.00,5755
5.751,15.406,1036673024,988.65,999.93,0.0000,0.00,5770
5.765,14.546,1036673024,988.65,999.93,0.0000,0.00,5785
5.779,13.961,1036673024,988.65,999.93,0.0000,0.00,5799
5.794,14.992,1036673024,988.65,999.93,0.0000,0.00,5814
5.808,13.384,1036673024,988.65,999.93,0.0000,0.00,5827
5.822,14.085,1036673024,988.65,999.93,0.0000,0.00,5841
5.836,14.721,1036673024,988.65,999.93,0.0000,0.00,5856
5.849,12.929,1036673024,988.65,999.93,0.0000,0.00,5869
5.864,14.229,1036673024,988.65,999.93,0.0000,0.00,5883
5.878,14.638,1054195712,1005.36,999.93,0.0000,0.00,5898
5.892,13.647,1054195712,1005.36,999.93,0.0000,0.00,5911
5.905,13.396,1054195712,1005.36,999.93,0.0000,0.00,5925
5.920,14.463,1054195712,1005.36,999.93,0.0000,0.00,5939
5.934,14.279,1054195712,1005.36,999.93,0.0000,0.00,5953
5.949,15.034,1054195712,1005.36,999.93,0.0000,0.00,5968
5.962,13.095,1054195712,1005.36,999.93,0.0000,0.00,5982
5.976,13.720,1054195712,1005.36,999.93,0.0000,0.00,5995
5.989,13.333,1054195712,1005.36,999.93,0.0000,0.00,6009
