timestamp,frame_time_ms,memory_bytes,memory_mb,throughput_msg_sec,cache_hit_rate,avg_hop_count,messages_sent,routing_table_ms,mminvoke_ms,routing_table_percent,routing_invocations
21.960,4.693,1138114560,1085.39,499.64,0.0000,0.00,10989,0.000,0.000,0.00,0
21.964,4.412,1138114560,1085.39,499.64,0.0000,0.00,10992,0.000,0.000,0.00,0
21.969,4.933,1138114560,1085.39,499.64,0.0000,0.00,10994,0.000,0.000,0.00,0
21.973,3.932,1138114560,1085.39,499.64,0.0000,0.00,10996,0.000,0.000,0.00,0
21.976,3.306,1138114560,1085.39,499.64,0.0000,0.00,10998,0.000,0.000,0.00,0
21.980,3.621,1138114560,1085.39,499.64,0.0000,0.00,11000,0.000,0.000,0.00,0
21.983,3.131,1138114560,1085.39,499.64,0.0000,0.00,11001,0.000,0.000,0.00,0
21.989,5.644,1138114560,1085.39,499.64,0.0000,0.00,11004,0.000,0.000,0.00,0
21.994,5.130,1138114560,1085.39,499.64,0.0000,0.00,11006,0.000,0.000,0.00,0
21.998,3.781,1138114560,1085.39,499.64,0.0000,0.00,11008,0.000,0.000,0.00,0
22.003,5.016,1138114560,1085.39,499.64,0.0000,0.00,11011,0.000,0.000,0.00,0
22.009,5.935,1138114560,1085.39,499.64,0.0000,0.00,11014,0.000,0.000,0.00,0
22.015,6.566,1138114560,1085.39,499.64,0.0000,0.00,11017,0.000,0.000,0.00,0
22.020,4.766,1138114560,1085.39,499.64,0.0000,0.00,11020,0.000,0.000,0.00,0
22.027,6.764,1138114560,1085.39,499.64,0.0000,0.00,11023,0.000,0.000,0.00,0
22.033,6.406,1138114560,1085.39,499.64,0.0000,0.00,11026,0.000,0.000,0.00,0
22.039,6.227,1138114560,1085.39,499.64,0.0000,0.00,11029,0.000,0.000,0.00,0
22.046,7.043,1138114560,1085.39,499.64,0.0000,0.00,11033,0.000,0.000,0.00,0
22.051,4.093,1138114560,1085.39,499.64,0.0000,0.00,11035,0.000,0.000,0.00,0
22.056,5.267,1138114560,1085.39,499.64,0.0000,0.00,11037,0.000,0.000,0.00,0
22.060,4.282,1138114560,1085.39,499.64,0.0000,0.00,11040,0.000,0.000,0.00,0
22.064,4.062,1138114560,1085.39,499.64,0.0000,0.00,11042,0.000,0.000,0.00,0
22.068,4.293,1138114560,1085.39,500.77,0.0000,0.00,11044,0.000,0.000,0.00,0
22.073,4.847,1138114560,1085.39,500.77,0.0000,0.00,11046,0.000,0.000,0.00,0
22.077,4.135,1138114560,1085.39,500.77,0.0000,0.00,11048,0.000,0.000,0.00,0
22.082,4.974,1138114560,1085.39,500.77,0.0000,0.00,11051,0.000,0.000,0.00,0
22.086,3.957,1138114560,1085.39,500.77,0.0000,0.00,11053,0.000,0.000,0.00,0
22.091,4.493,1138114560,1085.39,500.77,0.0000,0.00,11055,0.000,0.000,0.00,0
22.096,5.109,1138114560,1085.39,500.77,0.0000,0.00,11057,0.000,0.000,0.00,0
22.101,5.367,1141379072,1088.50,500.77,0.0000,0.00,11060,0.000,0.000,0.00,0
22.108,6.431,1141379072,1088.50,500.77,0.0000,0.00,11063,0.000,0.000,0.00,0
22.113,5.298,1141379072,1088.50,500.77,0.0000,0.00,11066,0.000,0.000,0.00,0
22.117,4.060,1141379072,1088.50,500.77,0.0000,0.00,11068,0.000,0.000,0.00,0
22.121,3.654,1141379072,1088.50,500.77,0.0000,0.00,11070,0.000,0.000,0.00,0
22.125,4.011,1141379072,1088.50,500.77,0.0000,0.00,11072,0.000,0.000,0.00,0
22.128,3.199,1141379072,1088.50,500.77,0.0000,0.00,11073,0.000,0.000,0.00,0
22.132,3.683,1141379072,1088.50,500.77,0.0000,0.00,11075,0.000,0.000,0.00,0
22.136,4.145,1141379072,1088.50,500.77,0.0000,0.00,11077,0.000,0.000,0.00,0
22.140,4.492,1141379072,1088.50,500.77,0.0000,0.00,11080,0.000,0.000,0.00,0
22.144,3.691,1141379072,1088.50,500.77,0.0000,0.00,11081,0.000,0.000,0.00,0
22.149,4.781,1141379072,1088.50,500.77,0.0000,0.00,11084,0.000,0.000,0.00,0
22.154,4.961,1141379072,1088.50,500.77,0.0000,0.00,11086,0.000,0.000,0.00,0
22.157,3.741,1141379072,1088.50,500.77,0.0000,0.00,11088,0.000,0.000,0.00,0
